,ZT0 Tx,ZT0 V,ZT12 Tx,ZT12 V
ANGEL2,244.66685945613523,254.6341211243681,311.35778595731705,385.35098136493207
ANKRD39,68.3736525167774,68.73929287789628,40.017806731106305,40.90046377023592
ANO6,261.00314212437706,246.68589916416678,243.99702279177578,215.46270294370757
ANXA13,8.631080152027968,24.654157990624167,13.829185289834639,9.349067556430956
AP2M1,1455.253101826601,1272.925226342522,1627.2915103073594,1822.057363823455
AP3S1,165.1378515747767,178.87384879001846,138.42399190098322,153.70675308199444
APBB2,292.668161928734,291.49225723396063,376.53875880294237,455.16439307471177
APOA1,43244.570101949816,37011.53086653458,65112.504853079634,55093.091354781085
APOBEC1,228.97612760140322,236.17974152452928,183.383329162053,183.81128309754527
APON,3783.505441720976,3026.799596298151,2867.0815345218907,2579.22541438017
APTX,113.13808640180893,95.79419220001107,139.29614928164278,173.24920427626247
AQP9,3802.1584133720803,3757.9004326912177,5421.265134881103,5996.463296156029
ARG1,13155.91418128239,10327.387894776637,13987.387365285593,15812.1704660831
ARHGAP18,160.28378307268653,184.9218366861813,124.59126181090662,140.55534188541645
ARHGEF18,865.8619082554126,736.0236379151673,580.4022609498145,615.8241644377425
ARHGEF19,1311.058889488764,1275.605763506376,1039.2204645953248,948.1940403134691
ARHGEF3,397.52899610750063,339.6022842611128,403.6026437179617,499.37538581518396
ARHGEF7,812.4042891738916,804.7598269105443,693.5166085915747,745.2712619233074
ARHGEF9,47.555931613214945,38.63013259384488,67.27336581270752,75.8210787518128
ARID3A,49.99113265389133,48.569919479430666,36.48012474628111,24.75019606179725
ARMC6,80.47121909643514,75.35952926965197,59.970794447940875,57.53846437932556
ARRDC4,296.41573569273527,203.6817906095899,153.60511977068455,170.80658615635426
ASAP1,462.3985575210806,419.4198484682624,346.16708389323964,358.76353123888174
ATP2A2,3551.46736460317,3693.498018861022,3668.845796352355,3323.6267198897526
ATP6V0D2,86.27566560323324,66.8130107106973,190.16824583130088,129.3449086803333
ATXN1,866.6064082748844,1064.9216488358263,826.4565768299528,726.2143661158378
ATXN7L1,260.1230359537621,321.8506023301323,245.86300055193473,251.86028892110048
ATXN7L3B,1338.9345538505765,1228.3655068891087,1055.4583210158612,1165.5357118162217
AURKAIP1,375.2452545057536,354.5891004395195,458.13893050806735,499.9506382919843
B4GALT6,60.60387619758059,49.78393212238718,45.564779477642766,28.552157413163705
B630019A10RIK,641.4832621886218,688.8460620275658,733.6738651859633,1059.3934785018046
BBOX1,1063.1232548006037,1053.4594916217825,1342.1092637206452,1733.8743307754644
BCDIN3D,38.293165468418366,42.403879033041996,32.897727287703994,29.09653454795333
BCL3,549.6924042045933,274.2265067996754,225.6197829816901,185.35255522248164
BDH1,1268.249910382046,1451.8456376037084,2097.5847276766003,2516.6056498143803
BFAR,479.3771617302437,443.3914232200852,549.7713244686786,694.1177119708512
BICC1,110.0875329476265,96.95292587971257,82.0990979180393,66.74668572436973
BOLA2,140.75640328207643,115.38827363190777,152.98128688762532,179.61102284902404
BUB1B,31.76795879697489,24.27550422743677,17.13268013705522,8.95842257081402
C1QBP,465.8380748212952,392.1529312602937,470.20408528167513,561.8502415225986
CABCOCO1,11.120219447534666,7.897705710312097,15.452671081479169,29.13723195782025
CABLES1,101.64276792898335,85.17762542273128,47.733782153694705,58.47756867619455
CAMKK2,358.56900872926724,379.3120261017613,337.3521233519658,307.023240076506
CAND2,12.977672750272752,15.767504789116016,11.11682639113229,6.59222734745352
CAPN15,479.6010815391962,486.0155397999978,400.1107982442398,385.3904007724069
CAPN5,70.89792772933055,70.5385872994616,59.16558398290746,43.11713758069518
CASP6,161.97372357982368,113.63404517825596,138.7377102676656,217.0807802539723
CASTOR1,15.955485611840986,10.827306863200002,24.492652180061107,31.208848820621263
CAVIN1,141.62587390453885,126.135391942668,106.21762585112641,93.07757630202217
CBR4,181.3254237852015,166.3565600775915,211.32906042712668,282.0721137845633
CBX2,121.02143726177636,153.3019038079249,108.57262340781243,120.73910929953065
CCDC86,157.24386516665666,115.92552036606087,173.26217217211013,185.4863869307292
CCNC,158.56934219665547,171.57101517657085,134.46331777997716,143.68381597860676
CCNF,196.13111195227592,184.18464358986344,138.56281467096244,115.73676251803634
CCNI,1288.6623338603135,1461.735377104694,1264.2545511045698,1396.446358650285
CCNK,223.97334864149596,179.66697597243913,228.87407212358565,277.8311561261752
CCR5,139.16370373644733,133.15043324603698,106.47044058029978,63.87489634873979
CD24A,12.977672750272752,42.56827535111502,29.278015595925893,14.818861118224044
CD9,153.58859484712082,141.86783455880104,121.40769234300171,95.03870846341367
CDC42SE2,150.7913990878274,161.646041227934,134.6393277160705,136.64761741750152
CDK5,179.93784171074108,169.2356309976996,219.84640553936057,255.29737716242172
CDYL,91.17303681200117,78.67907976348206,96.89354340336621,137.97634541001085
CETN3,106.06210111984232,87.39308454013845,128.01961097616982,150.03096613669118
CHD2,1222.4974938167388,1000.7458375234211,1238.659958686874,1474.3046075950153
CHRM1,12.426894139749619,1.793964962676144,19.665653207481338,11.993894316079212
CHRNA4,200.6721864735368,76.83531408530781,154.55226579674644,34.258992371210056
CIAPIN1,291.885296719627,299.70630302581674,408.82863958927277,449.6230297444849
CISD1,1041.2366438345202,1028.5575240550397,1167.34375528116,1460.6213254888942
CLCN5,160.72915393207032,194.68533696463467,150.43680200216556,144.53106479389234
CLCN7,682.7624073082397,521.6110519737449,679.5827757978615,828.362644507953
CLDN14,168.9499991417609,127.5916430566809,112.00526772053848,99.3093950046735
CLEC2H,11.6088930135962,29.23110980160635,51.36777393747639,72.23191526184496
CLIC1,145.18143450404537,162.08767777850318,124.79457485960901,129.41405358003337
CLIC4,1199.6736091526213,1226.0092137725928,901.9126093420348,1001.7871420726883
CLIP2,101.82091627273685,86.21055629942754,72.26311477569269,56.40773768093126
CNKSR3,203.39588112614862,230.9652724426593,168.04997584467654,170.574394904771
CNNM4,89.25347846480147,110.94133905464464,65.91787843259884,79.86569242381465
CNTRL,582.8316114967661,456.68818315483105,601.2184517602136,748.188842003304
COG4,858.134674128826,774.0468129055679,882.3442129090113,1075.5432264113222
COL12A1,83.58140883655787,71.02773857761575,57.30358973014432,48.52326901456387
COL4A2,904.5039641357739,622.7536473423235,675.7228075143105,519.0075183678293
COL4A3,13.795673876426171,9.747483936004597,26.63982028042048,42.002996707768624
COQ7,136.825743657279,100.28383236284071,162.996006402063,189.20248899711882
COQ9,878.4016164218654,887.5617089682942,1072.3467297239056,1239.7290167662788
COX7A2L,535.3239201072714,565.9080699408938,729.8386686631338,810.3029101677823
CP,14470.491225560203,12918.801200432776,12885.435852635015,12014.237226714295
CPLANE1,204.85126627618064,215.61330967229932,185.6415520365775,183.13397037532215
CPM,28.409348879005766,21.899152168260148,39.98372565808029,51.75176674011152
CPT2,1295.827393314157,1444.2814822199791,1075.9556694367407,1323.4974579369732
CRAT,862.0866048499287,1031.8938763401627,604.0655474862934,748.4657118137818
CRB3,145.92099700647464,154.89525330269785,127.48422176831109,125.23548303062147
CREB3L3,2921.3592005851065,3269.0045772586695,3651.5249793171347,4615.281664195265
CRTC3,356.3094872738231,314.4896834486458,225.05411163522106,279.9966684742714
CRY1,280.0116499489218,480.1298339657148,257.62124109532823,248.9028939894652
CRYZ,746.1332808651098,668.7831669308733,797.0850953554018,996.3738645924276
CTBS,188.43407622569327,129.90324665743336,175.8477111751231,209.10509171657102
CTSB,7830.929733383435,7700.642309881642,6824.653851180016,7362.448898535454
CTSC,1748.0895370650032,1755.8238663995894,1259.3664482565796,1242.8745757327765
CXCL11,89.8769976679388,95.8392581679246,71.92739292525867,58.249331041264746
CYB5A,6578.772810225146,6585.975689288955,7848.217487213899,9510.987638150997
CYP21A2-PS,113.89968051461074,68.32731464698706,43.613565026407066,34.213955665262674
CYP26A1,310.3217548373434,775.2444879449761,289.46885115355366,240.13916108075273
CYP27A1,5730.574755993857,5837.54445601801,7221.735623534336,8403.569944109413
CYP2B10,2347.362078467083,2087.498140023678,1132.4897770144962,1453.493251783706
CYP2B9,11497.652255066108,10609.512450454426,8621.922019926955,9775.487254697697
CYP2D11,14.373421614364466,5.768935563971665,17.44228792925488,19.5008576635871
CYP2D22,2977.933655168247,2778.065673226863,3513.408011504361,4107.873073629456
CYP4F14,3967.911804576683,4746.103743419591,3612.4575359037963,3438.449106998003
CYYR1,163.2264600172083,159.34393956811275,124.30929494743417,115.46987005319278
D930048N14RIK,122.8462234059893,153.11488388858027,98.79529801510317,93.94523640682246
DAB2,323.3672306631877,282.12890530890024,252.6166529640599,240.63773394858995
DCTN2,1079.8190634289415,1010.8143174141395,1206.7700658847475,1392.9310684261714
DCXR,1200.9394498966797,1049.5516438441487,1204.0089138118228,1515.7063325955305
DDX49,236.12238471746272,195.24631784825394,280.54108255366947,304.8713816344032
DDX56,352.6591544713298,294.5981729597621,422.78773520296386,466.4416812446607
DENND3,160.85336402099352,174.08265351681248,143.63534368812137,144.68798638935988
DEPP1,208.37169095864073,291.55403661584256,155.4320195020672,209.6392589350387
DGAT1,312.719351202452,257.2341536951756,297.5447036051248,407.5909465456871
DHX57,292.18518639378243,296.8682139689046,267.73433687740487,268.0060921642961
DHX58,172.78094904652903,147.50743597768266,124.69826506065249,112.62053495423332
DIAPH1,1326.9441032665122,1376.0940213499023,1042.0422766827146,1123.7424516761632
DIDO1,1400.7641973581267,1247.6828499425087,1569.814365009026,1838.1079961552048
DIO1,907.100219426874,821.8861465475036,1120.6390292161827,1769.6330874439425
DISP1,50.630985436291226,59.25065846670146,45.765054450280445,43.44233457085001
DLEU2,414.69638420856984,469.35213260049255,392.60632414530687,378.5056308630541
DLST,2430.8830905036334,2087.208540636833,2293.4024165032615,2886.18833786723
DNAH11,21.360332724454313,32.91166685110977,9.000194563556953,16.59449604170842
DNAJB14,377.05123831218265,412.72494820047643,353.95361904871953,371.95691147362834
DNAJC25,228.78164567838712,211.79268516549365,263.22041578228226,310.4244810526304
DNHD1,34.400110519188665,25.459784156299467,51.25948744028122,57.66476734519778
DPT,41.99990528426326,52.23860022276529,50.88691623985126,31.770958647220336
DPYS,2881.173445896904,3378.791220210896,3795.9850103436993,4685.817934012766
DQX1,196.94341504731935,171.04567271436775,290.7780872224576,307.68423345041367
E230020D15RIK,18.417655779932524,21.997731428386285,14.18856456160004,10.42901806468675
E2F8,63.04724402788825,100.32776931968826,42.54851824873973,44.745929688983594
E330011O21RIK,18.960267600824373,12.774995243280182,22.629273788812995,51.898609555307495
ECHS1,1968.2385815632279,1930.7615562637525,2277.693931572724,2707.847741468848
ECI3,58.33865671102643,46.28451725068725,16.19353399979731,14.152391753833648
EDNRA,59.1917937542263,78.7782677178034,69.73706239769143,57.577886770244355
EFEMP1,73.02260354769892,83.98739335789358,51.54837499617852,58.39209167999828
EFNB2,61.929353227579405,76.09914315986005,62.26681210379244,52.08423535302365
EGLN3,179.97544638630885,218.96024648076684,162.54235092601124,171.18945206127077
EHD4,151.77691300958176,123.40058892768538,116.05285864625218,99.78462425631915
EIF2B3,122.53322942516,96.73151289312338,133.8445409027317,161.93338685276493
EIF4A1,2464.6359419648584,2279.0275288479156,2752.0107108278403,3185.5450199627408
ELMO2,228.18509560266494,222.70308924613235,197.88827947626967,192.32101286984656
ELN,83.03879701566602,58.697348961446934,45.83520835003038,34.54923143568909
ELP6,40.658094675001855,50.34138166392168,42.11155766062227,34.25337805618147
EMILIN1,417.89071060352677,404.4301376077473,432.2597479509363,363.9295569993648
EMP1,84.05128006483552,34.1820410397346,19.775762550315346,12.753112299423178
ENPEP,1598.0525130307328,1593.8636687178093,1428.8678311121012,1348.357232000224
ENTPD6,130.97799444380317,122.2637213661926,125.78453879879945,99.79661746393748
ENTPD7,134.79014201078738,129.12972757108946,128.19421059772702,105.83260302879206
EPB41L4AOS,30.08865383799033,28.677298442352505,44.807348738477174,58.6805448769396
EPM2A,63.173922875332764,61.340788669321476,82.26130831025515,106.89328870667224
ERG28,417.2745976759533,394.46696963782694,846.7385093651812,780.7847432784221
ERLIN1,413.0334128288479,385.337069777283,561.8863187388755,575.1315299963654
EXD1,51.902524211459735,46.33789573692277,73.06144638927346,87.39932037706187
EXOC6B,240.74683537949034,231.93651231479805,175.02586487221882,189.64837463811725
EXOC7,410.25008189029575,364.09309607031526,482.3676686750241,523.0535419926787
FAH,6587.640727276481,5644.686464217772,6400.093935417224,7756.139436537834
FAM107B,454.5552800952022,475.8888443152441,635.2008758324682,861.7090720188708
FAM167A,19.724330472147475,25.223497821218068,21.238759904347187,13.930533011493567
FAM168A,466.5801060822457,572.6256262557134,476.25391920958845,525.5788265606225
FAM20A,462.4386309551697,469.67933632024517,326.5495220516931,315.0017395692706
FAM43A,95.6087035821227,97.40349762568955,101.16426402372578,71.63178703028683
FAM81A,57.048315598074055,29.075620713159935,57.836987184305144,57.56716858157417
FAM83F,38.401041978079,39.32230615090184,33.42373916623493,19.404919598338665
FASTKD1,326.49869149961563,309.500219106993,375.6026507417492,457.6084117899333
FGD1,37.839627819403276,38.52748769187261,27.167992820708417,20.570729391571305
FHDC1,10.515502582181215,14.057259720964405,10.338337599546163,6.040578589906602
FIG4,231.7864276673705,196.41161235812564,220.04053634284546,286.1315278216978
FIS1,447.4392213791465,413.9478820559501,557.0864121298735,620.0893622403389
FKBP4,2016.7824958567182,2078.5291011033073,1971.7035821753216,1862.6452478951312
FLNC,57.94475534795165,23.643256003894937,17.009648664651426,8.23849841857983
FLVCR1,106.1323729539352,77.35593578281693,72.10374067747019,58.158239730039874
FMN1,130.8701179341425,148.07791880223314,321.13676528760607,288.44733212714425
FNBP1,643.1306605031486,485.70799060497467,382.1332743502642,430.8026742494158
FNDC4,559.1137558412922,561.711686353009,484.0365193966058,415.96224900844754
FOXA2,465.42214184784785,499.27507687691485,374.53381554079624,418.24782293996697
FOXK2,397.9228974705755,370.36380271878215,497.56581203968676,568.0451912628739
FOXN2,312.5788075342663,346.7370833742068,340.9715234036769,307.1390853639725
FOXP1,453.9186565853909,483.7117513435488,392.9945857522766,435.738934034252
FOXRED1,415.3934045183887,376.02047509674475,537.1987173910851,607.9664889369235
G6PC1,6634.073257274597,5309.094359002629,2438.3118212594864,1911.74829731601
GABARAPL1,2363.387835913017,2332.414031459154,2257.6771739351675,3397.4760853944417
GADD45B,26.87058758820697,23.79108769686722,40.2746049676755,49.15911974935893
GAPDHRT,34.764573996327,14.974986300890535,49.47291384211313,68.50955987923075
GAS1,306.1100078761744,382.31058064087745,216.06880477888063,231.63006434275968
GATD1,216.33841795937494,217.68398056771025,167.7222471850854,171.69249278499748
GATD3A,979.172444969865,906.9136542893494,1181.8176140594817,1325.5120427171698
GBP10,99.80411696402912,115.562822533779,43.94867926162813,54.941095803711946
GBP4,109.7067358912256,100.75512723306984,71.05829979671502,81.04579173359032
GBP9,121.80430247088334,155.374312408597,106.62201657178969,110.22958914527763
GFPT1,416.4516590327573,430.0488678001441,455.91553235582865,362.0304266747251
GGA2,295.68111070734864,332.7633483302466,296.46476912024093,287.7841777854138
GGCX,2073.2236258309176,1830.3007727668037,1936.895967237822,1636.8308488875425
GGT6,438.9454556227156,377.6779179270939,355.1596977970565,312.88738230944693
GIPC1,121.22655473294505,106.17567604770929,168.93954558647897,186.1320627168243
GJB2,3982.8635472267333,3270.5283086426753,2825.564821160748,3116.340918329571
GLE1,435.0204940290282,390.56334077088786,470.1891975744586,582.4981549976322
GLTPD2,740.7954763140008,730.0610611901376,640.8802379026462,630.9360725923651
GM10033,195.8312222781205,202.86089160163812,191.28284282837254,168.5562328298138
GM11695,44.15155023004678,32.5715322085563,74.9802337050629,82.98676972508513
GM12346,109.89305102461041,71.49909385938811,49.61744207409132,45.32819707612585
GM13375,11.120219447534666,7.172282079967165,23.51527255432227,24.225976487550806
GM15343,66.96973686305441,76.3377434486358,60.418321419760865,47.62664799509952
GM15611,65.61482194711913,50.01785807512158,22.187621187051068,6.753231119383499
GM15711,28.59566401239057,40.16118238986511,66.46123465524924,95.99261312541528
GM15998,61.38674140668756,62.69069628753821,48.852921734441786,26.885857341303232
GM16551,44.462075452354796,128.03856263748662,75.916172858197,68.88438619318238
GM17354,25.377597762607213,19.28185342085139,23.951895326321562,43.01558520041815
GM19619,13.733568831964568,6.663550671517446,18.14768563606204,23.593315199050608
GM20319,398.7139294693137,331.38150088443757,411.9613232382217,522.5244760716113
GM22422,43.174203097923716,42.85200201934753,31.075350661906757,20.91059818704973
GM24119,113.81307510125527,128.78107120980306,68.5380799477996,85.03682544858582
GM2602,92.98718740806152,91.12050119437897,63.7917003676366,51.987022268827076
GM30784,52.35606186047482,59.322488072166585,29.31549873718596,38.0873616159004
GM32281,40.99558902472503,32.95619851926194,17.04545169228058,14.122155413018882
GM32511,21.057974291777583,13.650624931834985,28.031110688158325,46.68690768047841
GM35315,20.782584986516017,30.538906545561165,53.5553361880737,60.77423372763052
