,ZT0Tx,ZT0V,ZT12Tx,ZT12V
Heme Biosynthesis WP18,-0.976734166307626,-0.034037052994399,0.499353726841878,0.561395950021542
Toll Like Receptor Signaling WP88,0.548959611082783,0.278155885660176,-0.433262989983386,-0.254580011157659
Oxidation By Cytochrome P450 WP1274,0.0699219838202224,-0.00287259388081443,-0.353500203993994,-0.342348885297329
Oxylipins Pathways WP5140,-0.811206896551724,-0.322448546163648,0.548275862068966,0.633076242988445
IL 7 Signaling Pathway WP297,-0.473413701602836,0.41471165353555,-0.199610396188365,0.156204822367964
Splicing Factor NOVA Regulated Synaptic Proteins WP1983,-0.306300450580002,-0.595340811044003,0.419688960511744,0.556514236410699
SREBF And miR33 In Cholesterol And Lipid Homeostasis WP2084,-0.94812091503268,-0.752892271849618,0.074105988797932,0.795777682033606
EBV LMP1 Signaling WP1243,0.570356451730082,-0.126724137931034,-0.460678640197092,0.0250700924403602
Factors And Pathways Affecting IGF1 Akt Signaling WP3675,-0.0804132281602907,-0.416384710392551,0.672428734526681,-0.146614920224235
ID Signaling Pathway WP512,-0.109142870059456,0.220582742582809,-0.0856671946391786,0.177062814330287
Alpha 6 Beta 4 Integrin Signaling Pathway WP488,-0.464967304341775,-0.0527633004032457,-0.0942853727424132,0.471131710964061
Metapathway Biotransformation WP1251,-0.425066073512073,0.371223902155625,0.0933667264262647,-0.380977703565792
Triacylglyceride Synthesis WP386,0.0836303784152879,0.387757481749845,-0.157800708231743,-0.118534482758621
One Carbon Metabolism And Related Pathways WP1770,-0.0204375591002668,0.263596590561085,-0.252565245226895,0.410745526296169
White Fat Cell Differentiation WP2872,-0.247511196222082,-0.467361775940296,-0.222736221482987,0.697418421405304
Elongation Of Very Long Chain Fatty Acids WP4491,-0.294280742098078,0.217293961962208,-0.655291307345314,0.536914474693112
Oxidative Damage Response WP1496,0.574069043704232,0.675174915744389,-0.607851596203624,-0.436583261432269
TGF Beta Signaling Pathway WP113,0.0363182350666166,-0.096729862785011,-0.0522227017695296,0.539134378614078
Fatty Acid Biosynthesis WP336,-0.841743408082016,0.952131455435125,-0.604019418861998,0.271517255448163
Aflatoxin B1 Metabolism WP1262,-0.874246339362619,-0.12489233419466,0.957795004306632,0.0628768303186908
Histone Modifications WP300,-0.337639965546942,-0.821705426356589,0.796726959517657,0.232558139534884
Transcriptional Activation By Nfe2l2 Response To Phytochemicals WP1245,-0.387911607949012,0.276175646906759,-0.301919984884188,0.221871856551246
Omega 3 Omega 6 Fatty Acid Synthesis WP4350,-0.80611805256355,-0.353217179306649,0.633678077483088,0.501617541887468
Omega 9 Fatty Acid Synthesis WP4351,-0.294280742098078,0.217293961962208,-0.655291307345314,0.536914474693112
Kennedy Pathway WP1771,-0.778543731150366,-0.221456268849634,0.475657044377424,0.610943558810857
Fatty Acid Beta Oxidation WP1269,-0.0167703072578366,0.736717945238914,-0.573694370222725,-0.333333333333333
P53 Signaling WP2902,-0.305854093761696,-0.0970644399862174,-0.0200644896490763,0.612297772194519
Parkinson 39 S Disease WP3638,-0.29600714213602,0.377575826318339,-0.206180299678895,0.368444905444561
Prostaglandin Synthesis And Regulation WP374,0.522357263990955,-0.0788793103448276,0.203580512154573,-0.486032524129226
GPCRs Class B Secretin Like WP456,0.601464885825075,0.37483843171047,-0.349418354157691,-0.710469625161568
GPCRs Small Ligand WP353,0.777638773942476,0.725829744932713,-0.615682895303748,-0.398104265402844
Glucuronidation WP1241,0.519028694212869,0.446790176647997,-0.363205514864283,-0.658767772511848
Distal Convoluted Tubule 1 DCT1 Cell WP4183,-0.491817398794143,-0.515934539190353,0.523686477174849,0.533161068044789
Ptf1a Related Regulatory Pathway WP201,-0.016365202411714,0.962101636520241,0.016365202411714,-0.632213608957795
Biogenic Amine Synthesis WP522,0.652024117140396,0.321274763135228,-0.536606373815676,-0.48578811369509
Chemokine Signaling Pathway WP2292,-0.120169710811712,-0.0408356418046368,-0.303956250955274,0.45625686333222
Amino Acid Metabolism WP662,-0.527786780347014,0.585083371678631,0.0534369482094063,0.122930854715756
Myometrial Relaxation And Contraction Pathways WP385,0.162913137732491,-0.352119390923059,0.290322117249575,0.259014539624973
Hypertrophy Model WP202,-0.256729604379451,0.14632626769786,-0.0632645266670345,0.036191296854804
Eicosanoid Lipid Synthesis Map WP4335,-0.617571059431524,-0.378983634797588,0.86993970714901,0.15848406546081
Fatty Acid Omega Oxidation WP33,-0.790697674418605,-0.205857019810508,0.555555555555556,0.496124031007752
Complement Activation Classical Pathway WP200,0.878069797501077,0.116760017233951,-0.358466178371392,-0.699267557087462
Lung Fibrosis WP3632,0.472401845048926,0.083692838654012,-0.287646321532879,-0.37038436959547
ApoE And miR 146 In Inflammation And Atherosclerosis WP3592,0.14900947459087,0.819982773471146,-0.15848406546081,-0.707149009474591
One Carbon Metabolism WP435,0.635767429582629,-0.276570525707749,-0.159783141386915,0.0836206896551724
GPCRs Non Odorant WP1396,0.485523745766364,0.201466257592849,-0.255978479216387,-0.324938066873247
Microglia Pathogen Phagocytosis Pathway WP3626,0.174392645755677,0.44594190058718,-0.475891436014286,-0.27022947915574
Selenium Micronutrient Network WP1272,-0.991805487433081,0.881314524537002,0.260482277069955,-0.155481201155342
Hypoxia Dependent Differentiation Of Myoblasts WP5025,0.407407407407407,0.566752799310939,-0.767441860465116,-0.243755383290267
Steroid Biosynthesis WP55,0.73557278208441,0.242032730404823,-0.414298018949182,-0.617571059431524
Glutathione And One Carbon Metabolism WP730,0.337215797016271,-0.00376905177631082,0.0180187652873048,-0.00344827586206897
Matrix Metalloproteinases WP441,-0.425767109459888,0.563199575517158,0.140160234709998,-0.0603188280913399
Ethanol Metabolism Resulting In Production Of ROS By CYP2E1 WP4265,-0.813953488372093,-0.183462532299742,0.639965546942291,0.397932816537468
Macrophage Markers WP2271,0.89405684754522,0.101636520241171,-0.481481481481481,-0.547803617571059
Hedgehog Signaling Pathway WP116,-0.179663937957777,-0.825075398535114,0.696238104082711,0.747687276220092
ErbB Signaling Pathway WP1261,0.227852371546959,-0.319300358672029,-0.4066476786906,0.339041940866566
Wnt Signaling In Kidney Disease WP3857,0.197450180589747,0.226519525748201,-0.253285124318077,-0.0643926666386661
GPCRs Peptide WP234,0.786729857819905,0.193451098664369,-0.744506678155967,-0.270142180094787
