,ZT0Tx,ZT0V,ZT12Tx,ZT12V
Factors And Pathways Affecting IGF1 Akt Signaling WP3675,-0.0181399130983396,-0.395882374081328,-0.575593599655025,0.621701600784926
IL 9 Signaling Pathway WP10,-0.0530612244897959,-0.0914958671640699,-0.525590279766412,0.673373214396005
IL 7 Signaling Pathway WP297,0.0709701865362756,0.21750605437989,-0.658394245363067,0.42570369480603
IL 1 Signaling Pathway WP37,-0.029717567285084,-0.292244410970179,-0.139980792009881,0.534086084240872
Estrogen Signaling WP1244,-0.177762364302621,-0.117765728670627,0.0745648332172204,0.137835018026604
Macrophage Markers WP2271,0.325583007669665,-0.148732622673125,0.693096732223575,-0.905066180609905
Oxidative Stress And Redox Pathway WP4466,-0.0420796279846374,0.238805528521973,0.247572207738921,-0.344766784748061
Selenium Metabolism Selenoproteins WP108,-0.615437218663969,-0.0143598133745561,0.597515806091702,-0.0289888986168133
Novel Jun Dmp1 Pathway WP3654,-0.385652486178617,0.437657106048557,-0.0226035868893012,0.226122448979592
Acetylcholine Synthesis WP175,-0.652626811594203,0.866847826086956,0.0756340579710145,-0.0317028985507247
Prostaglandin Synthesis And Regulation WP374,0.0917904204141393,0.13709511532592,0.280656556550541,-0.575354479141054
SREBF And miR33 In Cholesterol And Lipid Homeostasis WP2084,-0.677843226098777,-0.35119744276563,0.1349531118519,0.831445400996828
Serotonin And Anxiety WP2141,0.122791119166289,-0.395136410512981,0.312804193968537,-0.15722779025929
Monoamine GPCRs WP570,0.493513755847272,-0.20997648807782,0.0291583457797021,-0.446888748905613
Fibrin Complement Receptor 3 Signaling Pathway WP5128,0.378575123472071,0.378761817740698,-0.656811836086088,-0.227703521172427
Toll Like Receptor Signaling WP88,0.496823956442831,0.495916515426497,-0.6002722323049,-0.475803200594652
Mitochondrial Gene Expression WP1263,0.239733926274946,0.017307729403368,-0.102901178603808,-0.0283461571604989
Oxylipins Pathways WP5140,-0.611451181967586,0.00726732991163032,0.26624800604855,0.327330174399408
EPO Receptor Signaling WP1249,0.263071381440635,-0.103451983499427,-0.513372242281903,0.139721333204022
PPAR Signaling Pathway WP2316,0.190750765242392,-0.354767658322968,0.243098508466136,0.17231938511544
Nuclear Receptors WP509,-0.107090029521807,0.0842513908517423,-0.165689732292047,0.207080507628562
G Protein Signaling Pathways WP232,-0.525078304008745,-0.498223284497547,0.257294182704843,0.590933666105011
Spinal Cord Injury WP2432,-0.349485173356282,-0.130174729797511,0.356234828792719,0.208338646139962
Cytokines And Inflammatory Response WP222,0.534112122585163,-0.232253316168133,-0.201690246263012,-0.0888083371091981
Homologous Recombination WP1258,-0.181511417727563,0.439087223463256,-0.0128111143421992,0.0172179429089262
Serotonin And Anxiety Related Events WP2140,0.21118115942029,-0.217376926616057,0.272552954292085,-0.530300232165471
Biogenic Amine Synthesis WP522,-0.391662685140946,0.434257426066047,0.273489198796828,-0.540083333333333
IL 3 Signaling Pathway WP373,-0.103684052064561,-0.0700492295574263,-0.1732881783368,0.384160583941606
Wnt Signaling Pathway WP539,0.272091474760223,0.00118406092872531,-0.391677915020752,0.103515222172289
Selenium Micronutrient Network WP1272,-0.442768582970722,0.53758928380444,0.159937922166939,0.0443986219401633
Ovarian Infertility WP273,0.718540515575019,0.707382601378881,-0.817824893148556,-0.44599777119616
Statin Pathway WP1,0.0924750679963736,-0.139560424626848,0.0389110427151949,0.017324766248157
Eicosanoid Metabolism Via Cyclooxygenases COX WP4347,0.281179138321995,-0.481226057704947,0.216728651644425,-0.270465674192382
Iron Homeostasis WP1596,-0.734720790058138,0.462834361493505,-0.00543724512913457,0.205872923282339
Matrix Metalloproteinases WP441,0.479594523840046,0.0417226588718978,-0.399832736471937,-0.113327289211242
Splicing Factor NOVA Regulated Synaptic Proteins WP1983,-0.0490863646927224,-0.636594352762419,-0.300061901645538,0.721115653367635
Mecp2 And Associated Rett Syndrome WP2910,0.117470890165335,-0.210843509538396,-0.0526067763545436,-0.194722977188657
Metapathway Biotransformation WP1251,-0.410172335503553,0.300927714173392,0.359542389639359,-0.186755410930834
GPCRs Class C Metabotropic Glutamate Pheromone WP327,0.00498188405797101,-0.809271224846488,0.919950291407364,-0.00319472006735222
Fatty Acid Omega Oxidation WP33,-0.0520833333333333,0.228661760626863,-0.302524468285338,0.357810970486066
Pentose Phosphate Pathway WP63,-0.947916666666667,0.942531829879453,0.670139051043759,0.0407608695652174
Omega 9 Fatty Acid Synthesis WP4351,-0.0301254919097668,0.395101285072589,-0.36560922669632,0.0332710146109597
Eicosanoid Synthesis WP318,-0.296006703954045,-0.00704113072054557,0.248321380383538,-0.128793859795628
Kennedy Pathway WP1771,-0.245511346416098,0.705029451744449,-0.32850022655188,-0.481567461601768
Focal Adhesion WP85,0.253176030119596,-0.249240114849235,-0.0910081088535715,0.0873559873482867
Type II Interferon Signaling IFNG WP1253,0.394441947814894,-0.102437237761296,-0.686445205819554,0.505855011872347
Glycerolipids And Glycerophospholipids WP4345,-0.255729036376798,-0.0697565767708731,0.128323416891864,0.147931585970846
Sphingolipid Metabolism Overview WP4344,0.289059586535641,-0.716661607646835,0.635190993815615,-0.20934636433839
Fatty Acid Biosynthesis WP336,-0.553750416751967,0.455920911064721,0.291164654094591,0.250009739063917
Folic Acid Network WP1273,-0.200425735157895,0.552621241509798,0.607100453614244,-0.51371538873118
White Fat Cell Differentiation WP2872,-0.534086548372263,0.281846226862838,0.467773793285306,-0.0549310656173358
GPCRs Other WP41,0.116606170598911,0.385911602698113,-0.36196109776142,-0.0906728723923268
Leptin Insulin Signaling Overlap WP578,0.168554599003172,0.155725834970765,-0.668580220942024,0.324033918052948
Tyrobp Causal Network In Microglia WP3625,0.264295271165375,-0.287742317500294,0.12554435556044,-0.312909005564078
Apoptosis WP1254,-0.0129102913080968,-0.159560357675112,0.0067806727434056,0.244437924252997
Sphingolipid Metabolism Integrated Pathway WP4690,0.289059586535641,-0.716661607646835,0.635190993815615,-0.20934636433839
Tryptophan Metabolism WP79,-0.26871953251678,-0.292222177072241,0.0282959885133005,0.598005421945138
ESC Pluripotency Pathways WP339,0.0263812645211446,-0.211840255247184,0.161613209714819,0.414848887503113
