,ZT0Tx,ZT0V,ZT12Tx,ZT12V
PECAM1,619.2573376919075,563.4660188698595,453.68541700184056,443.3990782671474
PEG10,39.83717497477628,41.019784596096095,20.868892196570656,20.338456782472075
PEG3,427.0621581214352,310.00049270824525,254.96452281811662,339.7562241647635
PELI2,648.2946885303173,617.5882477209275,700.8272179748516,754.1341947734063
PEMT,3719.2485677267186,4304.739443053806,3927.5273266248914,4245.0517796392205
PEPD,890.5837911069593,942.0939890317529,923.1798186210074,927.0837807738129
PFDN2,403.696250428102,402.6996547330266,447.949664908988,458.57086295420805
PFDN6,279.469047126606,307.4814480416241,319.2361752940169,299.7429582213478
PFN1,2076.511523509974,2174.4329894979064,2372.2259931761882,2402.239405766193
PGAP1,855.7176641744895,735.788064404839,1026.4915083890016,1043.7499159304377
PGLS,902.1710790124938,999.2662816129646,959.084566755907,968.7346792994373
PGM1,4528.9026251608875,4908.9841087242075,5396.453312681911,5438.843581480645
PHB2,2577.9849364386023,2728.2560840321216,3052.0496596220773,3136.0794991566154
PHC2,607.824612638052,597.6629391368757,447.94847056675707,510.58957031736514
PHF14,726.0610121844235,635.2633925791837,846.0765618587212,880.3760542409035
PHF21A,507.18873286375043,445.3234218081131,366.63450869442613,415.6145802919694
PHLDB3,219.23450556366686,184.79825685589688,131.51957703716855,147.96703731368078
PHLPP1,988.4645840549018,867.0452359682959,759.8061427763141,780.1127019183749
PHTF2,272.71637524289395,255.52085947723202,320.95614547693407,309.2668372844485
PHYHD1,111.06382130393243,91.13395333605371,74.3431925322615,84.27534114663146
PI4K2B,650.7027236444594,695.3938576418751,742.2981920420214,756.8582632035834
PI4KA,1341.6379653700405,1312.1836203337318,1484.2618868498841,1608.7423965619755
PIAS2,676.6853841513998,609.4772384873877,713.5920750031489,723.7169784909769
PIBF1,303.49304149398915,224.06024024138867,215.54851370465505,216.81298741221588
PICALM,3150.581170983176,3109.4108342204377,3327.8429936297302,3411.5940362332403
PIGN,751.5469559919126,653.1671041185208,518.688561456098,512.2190745462366
PIGP,150.94869597517706,146.6913054306759,180.62707323304983,169.4781603867356
PIGQ,676.9932274762286,713.531926056966,733.1870320559808,733.9535953145826
PIGX,164.50925558351673,172.60568970776924,197.89649749124075,192.0529978592369
PIK3C2A,1987.6719770831103,2034.259671229059,2222.5651654208896,2218.297427316582
PIK3CB,463.00826948673847,411.4565001034827,553.1911247834172,571.4092615412588
PIK3R3,66.91599383912325,82.80176767134542,36.292889692168416,41.037692635107625
PILRA,77.88890170269202,63.7125480671683,42.04081152092228,51.29867505493454
PIM1,589.9137331210937,581.3267414294637,317.68086551114897,331.9471965097001
PIP4K2B,650.1918838319408,637.270431139438,473.9304914090978,533.8570503648012
PKD2,906.9428223061027,785.5366358525902,645.9410702559936,639.0589706312793
PKHD1L1,97.49803758774172,49.749278935389604,42.45759827943536,46.062504018815794
PKLR,2551.8649347353503,3588.3919795450242,5689.277714214909,3233.3336467083627
PKM,365.00499089606234,356.15832348775723,259.9898311943675,270.78460113958056
PKN3,20.70960109809201,26.02563119312049,35.589532414336674,31.44212030010303
PKNOX1,470.4831267378568,409.79935017905603,334.4430500338484,362.97672901640533
PKP2,982.052156760487,930.6397591824526,777.2839539317184,821.0484511210457
PKP4,2215.336455055727,2143.900832509963,2312.7151525657323,2339.1626349617713
PLA2G12A,171.32799114359457,171.97937406750384,268.6946197844738,325.91936881507405
PLA2G4A,59.93832916028122,49.42762084669152,35.38743553132314,32.168264870285135
PLA2G6,917.2244818745639,838.8092025819541,1214.988708453916,1195.37529999261
PLBD2,1309.80937460151,1206.5723514196934,1520.6215184655737,1650.9697366179068
PLCD3,47.79124428524602,58.832112426265326,86.39628654383024,59.53348661231945
PLCE1,587.5506738628529,549.6249070743515,806.3731480876089,879.4576995493123
PLEC,4824.59779465384,4433.581346490405,5572.889227586713,5652.640195290644
PLEK,117.77116028181729,101.49060111488588,64.72392210611146,47.00548440135765
PLEKHA1,386.2712823449671,335.45342079049686,248.88978793882762,252.09769100516152
PLEKHA3,410.74283610051964,435.58575180635006,476.77109727219784,467.3613847543195
PLIN5,1085.5681444534514,1144.9718397352253,1393.884722938071,1468.678937000126
PLK2,407.85851223304155,439.61347997553804,243.96460100793635,231.7312707785116
PLK3,976.9611115657225,489.04675305419767,1962.6120792074337,2038.2825051367788
PLK5,28.952275759951906,33.09163795560225,43.78733651931084,46.43638681274408
PLPP3,2948.7554940715054,2879.6276728834428,3312.606188535468,3265.955165536314
PLS1,13.078581138598889,16.259574830528095,28.166406199921827,12.98952543091011
PLSCR2,295.3963643095347,389.94269462822314,383.85052502298544,305.8688050148551
PLXNC1,1095.8100273558473,1033.8135635195829,818.0067925489625,838.5808494473391
PM20D2,100.40962951865767,108.07555087934459,62.24338500496481,73.47216707885123
PML,579.9511313382569,525.8855761958374,410.93915781731357,428.0604676308361
PMPCA,1331.2757208914302,1338.1860829659845,1448.8923769657436,1432.0863711895413
PMS1,336.8126842704939,379.81184843513415,227.7013247618795,183.95256775937293
PNISR,1723.3670350329837,1403.0149343908356,1252.0737524990682,1272.2296186416615
PNKP,669.9515154390922,715.6239410194263,457.017676696588,466.0641888952665
PNN,822.2967732051341,680.1315783730677,628.3238342158846,647.1279278244182
PNPLA2,657.914720004006,594.5492878126875,1272.844115510171,1260.456590711614
PNPLA6,1265.277293090896,1172.2812323611363,914.8462168538261,1117.0557773133503
POC1A,45.68274668740886,41.73040848601112,74.58224073644439,76.14446318262524
POLD1,109.9493253836752,94.4034310125195,68.85585881328407,80.54118549186383
POLD2,153.0652251620451,202.58384356815085,184.61468272869823,185.115827025952
