,ZT0 Tx,ZT0 V,ZT12 Tx,ZT12 V
C1RA,2259.9782888638047,2469.3657578295306,2734.3882586812797,2507.7678394094933
C4A,130.6274852236067,75.28911425079889,60.14408470157785,56.80856016521731
C5AR1,38.288019967479805,16.146037736710657,12.83304473143516,8.33798870869786
C8A,5716.81799104676,5702.186876524998,7043.804789534717,5396.075921234802
C8B,1952.3620339754846,2198.464119880247,2539.4366701143067,2135.904212067373
CABLES1,108.75544348372358,90.79918795351381,46.908325276932175,54.597769771417596
CALR,5838.727319342803,6427.11288258044,8358.912846192923,5373.8699032125105
CAR8,907.8503353455426,1183.3113442137717,1153.7798660461813,1150.2662183749533
CASP3,191.7709799212898,203.93513893773527,241.97391439509315,209.92054926317118
CCDC157,272.4428649708816,287.0822452322221,348.5060449563014,334.2236021198548
CCDC6,706.6566266231825,554.5971017400316,423.5765496417561,474.55430286560386
CCNA2,53.617664929223515,18.39408222620168,13.926662352482088,7.014161435951281
CDC123,314.23970824313534,320.09213218408075,377.94338248855644,375.29933587504894
CDH4,59.83583540065986,30.15041433338375,19.9720842994698,22.181246604558655
CDK20,141.12102181042536,98.65247120485388,69.38347982693735,72.88203321438147
CEP120,353.77839255554886,316.0055416788376,225.89053836789114,279.15533621656033
CES1D,11485.601055378782,13292.27305317518,15573.189317892042,18639.683398886387
CES3B,3302.929951205344,5083.072807056334,5583.37309179027,5821.6937415881275
CHD9,1047.1906659532656,1109.787491087592,1330.713833021921,1297.3651912671999
CLDN14,181.35184613395919,136.00559779999514,109.73510598672843,92.74653541569371
CLEC1B,130.12151999042422,127.71070693105834,172.81986645225047,165.5766468800188
CLEC9A,38.50269222146237,53.397709101758984,66.83806031529572,68.79928961268106
CMBL,1346.8017409486943,1268.829466560525,931.2039478411251,1220.6520720406052
CNPY3,392.7104292849764,435.43110928788934,505.85672728648325,445.1982613264778
CNST,240.50441322641566,297.79570951711514,311.29645670894274,364.16290997146837
COIL,75.83577667466675,64.54097692278826,41.113748912604585,39.69704028951847
COL15A1,342.93656803744085,237.3125674902758,141.77336939717893,99.79305537272286
COPE,1023.0690013980238,964.2795565187249,1264.192710927587,1114.6633260511069
CPNE8,115.44886378656842,41.8720733974483,49.20886586360986,29.921806897684313
CRACR2B,35.36843639829329,42.838052680842125,64.54956024127303,59.49752091273887
CREB3L3,3142.1760919586177,3486.8464998638633,3587.234098169477,4314.466110449336
CREG1,5952.700428018679,5383.414695389099,3341.199567049882,4714.738181716567
CRYBG2,53.72943690767323,24.93651387596433,24.397215336964795,23.403292652241767
CSF2RB2,74.90268485924841,49.75013152866687,31.934016587700764,32.6905048411274
CSRP2,211.2490290982967,200.1644150281827,261.7905075608212,232.86041477650724
CTSC,1877.5378522087474,1872.1917249929875,1235.3041486612362,1161.8483114083235
CTSF,303.61255597900987,349.10793308749487,376.0366106226266,398.91203162887825
CTSL,7294.073465272509,4926.275787374562,4594.06562434904,4492.6211304612125
CXCL1,478.0052972643696,100.86682345616812,34.126632053751635,33.45967006319534
CXXC5,564.1798222665614,507.04291218017113,370.7316875870187,366.927227426316
CYP27A1,6160.154987934884,6224.3319484623735,7082.805190904709,7863.301151370628
CYP2B10,2522.6590088052435,2225.1741358051377,1110.3084165007874,1363.2497028321886
CYP2B9,12401.257219268218,11314.378222390913,8471.651187643953,9131.515284827477
CYP2C23,2824.35537553695,3480.748393661887,3928.301437009561,3712.352098582015
CYP2C29,26682.49925155893,23535.06687758945,17766.369199985067,27749.189671174536
CYP2C55,219.0287826669945,139.00046799993842,67.2362492114449,137.1946305893356
CYP51,1690.3253307959933,1737.5261396428934,3247.0757352322416,2262.5233870310417
