,ZT0.Tx,ZT0.V,ZT12.Tx,ZT12.V
Myometrial Relaxation And Contraction Pathways WP385,0.186626613558554,0.347180260067996,-0.415920207981666,-0.458706455998875
Glycerolipids And Glycerophospholipids WP4345,-0.120287253141831,-0.820466786355476,0.70556552962298,0.296229802513465
Signal Transduction Of S1P Receptor WP57,-0.511669658886894,0.511669658886894,0.676840215439857,-0.418312387791741
G1 To S Cell Cycle Control WP413,0.553290362633751,-0.160468548238332,-0.0449640287769784,-0.00179856115107913
Prostaglandin Synthesis And Regulation WP374,0.565529622980251,0.508078994614004,-0.737881508078995,-0.368043087971275
EPO Receptor Signaling WP1249,0.436265709156194,0.608617594254937,-0.8491921005386,-0.25673249551167
Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855,0.436265709156194,0.608617594254937,-0.8491921005386,-0.25673249551167
Alpha 6 Beta 4 Integrin Signaling Pathway WP488,-0.762589928057554,-0.100719424460432,0.64568345323741,0.302158273381295
One Carbon Metabolism WP435,-0.159784560143627,-0.78096947935368,0.0915619389587073,0.806104129263914
White Fat Cell Differentiation WP2872,0.982046678635548,-0.0269299820466786,-0.439856373429084,-0.0448833034111311
Chemokine Signaling Pathway WP2292,0.517958312472002,0.195208150699588,-0.586642599277978,0.0419627731260723
Estrogen Signaling WP1244,0.638489208633094,0.483812949640288,-0.634892086330935,-0.469424460431655
Parkinson 39 S Disease WP3638,-0.572710951526032,-0.073608617594255,0.877917414721723,0.11310592459605
G13 Signaling Pathway WP298,-0.727109515260323,0.120287253141831,0.856373429084381,-0.0664272890484741
SIDS Susceptibility Pathways WP1266,0.874326750448833,0.321364452423698,-0.289048473967684,-0.802513464991023
GPCRs Other WP41,-0.511669658886894,0.511669658886894,0.676840215439857,-0.418312387791741
Calcium Regulation In Cardiac Cells WP553,0.517029651010233,-0.265841745359818,0.67988911988912,-0.727512127512127
MicroRNAs In Cardiomyocyte Hypertrophy WP1560,0.374062654638194,-0.478901183985547,-0.0386520971901724,-0.66857283404046
Mecp2 And Associated Rett Syndrome WP2910,0.447037701974865,0.684021543985637,-0.583482944344704,-0.508078994614004
Eukaryotic Transcription Initiation WP567,0.838420107719928,0.357271095152603,-0.418312387791741,-0.680430879712747
Glycolysis And Gluconeogenesis WP157,-0.770197486535009,-0.134649910233393,0.651705565529623,0.156193895870736
Lung Fibrosis WP3632,-0.784560143626571,-0.213644524236984,0.0448833034111311,0.845601436265709
Integrin Mediated Cell Adhesion WP6,-0.0805222488675726,0.196148963182395,-0.836368562054122,0.691610403984505
Exercise Induced Circadian Regulation WP544,0.813285457809695,-0.0341113105924595,-0.748653500897666,0.0879712746858168
IL 3 Signaling Pathway WP373,0.634892086330935,0.409800461517578,-0.818345323741007,-0.170863309352518
GPCRs Odorant WP1397,-0.324955116696589,-0.508078994614004,0.9245960502693,0.10951526032316
Purine Metabolism WP2185,-0.105804538715931,-0.821621621621622,0.622239681542007,0.648562848562848
Dravet Syndrome Scn1a A1783V Point Mutation Model WP5298,-0.605026929982047,-0.0412926391382407,0.867145421903052,0.0915619389587073
IL 5 Signaling Pathway WP151,-0.432675044883303,-0.526032315978456,NA,0.906642728904847
Kit Receptor Signaling Pathway WP407,0.436265709156194,0.608617594254937,-0.8491921005386,-0.25673249551167
Electron Transport Chain WP295,0.123877917414722,-0.921005385996409,0.913824057450628,-0.220825852782765
mRNA Processing WP310,-0.26932548832348,-0.491992555515739,0.162020443560386,0.567753021585512
