,Tx ZT0,Tx ZT12,V ZT0,V ZT12
CYP1A2,13572.590224600659,14412.754982969976,13389.934223170987,16692.34212241648
CYP21A2-PS,108.85405725990593,44.253338721563296,98.19683763228598,82.8223000618167
CYP2A4,38.45779546185381,207.8201470233887,29.7362415964535,125.71962638571561
CYP2A5,7846.203105120751,32722.756254775213,10824.356524407422,31486.800122083514
CYP2C23,5729.695490929473,6348.718895495356,5444.245366226759,6104.771349684138
CYP2C29,57061.69975927664,47610.53342634426,61899.97120549129,47087.3435445999
CYP2C50,19106.705650054526,16258.531889444299,20837.04963543855,15594.057995426105
CYP2C70,13584.590077367859,10038.51274916632,13980.86400968112,5579.220440204524
CYP2D11,76.31312074055764,105.53878604336846,83.95532644967557,92.74921431290483
CYP2D22,4596.485409313449,5429.0132819059945,4888.259330545626,5275.177141353506
CYP2D37-PS,3930.7846633214613,4705.685263630717,3793.6083617916024,4773.311077616083
CYP2D38-PS,1586.5635688759346,1945.9223597425432,1553.5400287195134,1964.5540091890152
CYP2D40,912.3929952889399,834.0828049252337,1006.4826577145286,726.1858075977838
CYP2D9,25709.029197702344,28583.18957153575,30070.59110308521,28306.174671847042
CYP2E1,117510.1198459334,148506.8264278218,109008.31292130491,158795.19952551008
CYP2F2,23923.91875576336,23823.12496545854,25374.417567347555,20244.4825560442
CYP2G1,10.277380843821765,38.1084802922419,12.150467559836182,26.254716757492076
CYP2J5,15279.22786513225,12468.260576502804,15429.199713481195,11378.057420254985
CYP2J8,8.683957782143848,11.875342456370072,10.650734744862605,18.235100987765037
CYP2J9,491.1629135171926,552.9969739348243,426.8081531221732,667.5498821457062
CYP2U1,2203.7113117361864,1470.214070578273,2298.50108972496,1493.200985343994
CYP3A11,148503.3473676303,153327.7236790623,186147.7716625086,115769.24441856703
CYP3A25,22743.35070855085,18321.344015295228,26953.706273723776,19497.550401700326
CYP46A1,26.127007973944178,43.416670969407505,25.99171478535185,46.286764125513734
CYP4A10,8891.793598708842,8016.305588210581,10539.993180656658,7455.832822668275
CYP4A12A,5830.045216325343,5289.071335023578,7110.355122198379,5274.850900535689
CYP4A12B,2665.842504423314,2269.0845339433477,3173.0172983892553,1828.8296397571187
CYP4F17,578.1414684082713,308.51543818621707,458.3912056385539,314.5039748581109
CYP4V3,8927.472039057828,7141.613741999171,8397.928257449856,6663.122261533131
CYP51,2022.657506174207,2126.1337180183796,3278.405382201818,2753.781768381711
CYP7A1,1721.402082124602,3761.147388005604,1895.6570276081263,5037.81506931784
CYP8B1,5824.637900016603,1827.9273146813005,6241.620152311142,2814.0358427545184
CYRIA,155.7715604028812,102.86269960517781,140.2502391451342,102.8103567060926
CYS1,36.054748483518196,83.89627475467336,26.19598328883946,99.61746761183338
CYTH1,712.1349022498963,1075.1240887815322,748.330501044596,1148.098000095204
