,Tx ZT0,Tx ZT12,V ZT0,V ZT12
IGSF8,111.89070791140287,161.72890244239497,102.64046768296942,145.85886355850434
IHH,10.783856336622343,21.18684568946887,10.235575565064462,26.674446798949987
IIGP1,2628.7144052797607,1741.092066144215,2743.3200472965254,1994.969878816161
IIGP1C,1302.837638138214,1103.8842713928643,1466.3313609928207,1148.4014231664958
IKBKE,495.17251860106734,709.7274212533409,472.4449847115897,425.47044117705656
IL11RA1,524.8546751357277,360.0273952351842,525.5168700875073,353.79823723807885
IL12RB1,4.5786360294858754,26.78419933317704,7.661225554638089,29.727613368066795
IL13RA1,726.6083901601891,460.8599121438815,605.8383334776682,485.03707378629207
IL15RA,417.33108671809805,630.0027434731049,411.22426370943873,701.1151965535714
IL17RA,561.6463380673197,320.99119797537463,353.67219796809013,303.0841245270192
IL17RB,122.2358213444365,168.3424815691231,110.78557595945635,159.05032695887164
IL18R1,25.42311483547766,6.005620419409898,34.35307261322881,5.345853236861039
IL1B,75.86385328244765,12.290961468944891,71.73591937078318,7.212623224207941
IL1RN,84.84562817998393,32.25197035908711,27.619832905791984,25.03623580093279
IL22RA1,74.21602378328606,63.60996824509962,87.4831519735506,44.48586987337726
IL33,46.99082750872235,24.989824233657004,23.3913805452874,19.19625140974077
IL34,23.194296950895275,36.71378643188144,23.52639817765942,45.43222878365776
IL4RA,849.7374071439665,468.54565244557335,787.0143716386552,401.0913061567235
IL6RA,1070.173286449044,2160.261363479812,885.8609795135106,2722.0974040124893
ILDR2,1633.7380671623023,1517.768820129879,1533.4599794036092,1867.1232263538138
ILK,498.8478042201555,491.0209176550129,488.0809514122086,568.8891059972697
ILRUN,3113.1353835444115,3387.0918516110632,3104.3856580136157,3639.5415747328475
IMMP1L,113.47942112774078,91.2174824878424,141.08757216127972,90.7618227114411
IMP3,237.906189295447,277.30268113597543,269.5880709289508,280.49573432176516
IMPG2,116.16360775571354,139.8709071076913,87.79468598161155,155.34129751257788
INCENP,62.28681651562382,38.12578386379597,41.12364340208151,21.18925867551691
INF2,1350.3715829710445,1349.274247658305,1108.3273540966272,1347.6576587714303
ING1,116.38159536017102,146.13316295344197,141.13145945239242,153.6017230068696
INHBA,180.02251164787356,89.50272491445746,197.87399396913568,68.97447658017133
INHBB,94.98199277197874,14.819083209486857,21.94813996756927,24.047610249932738
INHBC,432.00174520952123,529.6788059667905,594.1557089669554,401.7725375707816
INHBE,564.0515691209757,660.5540671056673,483.81779638722304,537.3826753964303
INMT,4399.5750881953445,7596.60687192453,4175.91242912969,8147.485686011085
INO80,468.3103231074669,484.06910401624395,411.62873176634747,509.64154448090835
INSC,316.4283646026471,209.6560013543752,352.9294707848938,95.4614254442303
INSIG1,3251.6129954056514,7572.6207204127595,6120.858631804691,6500.318547036994
INSIG2,3733.9982538098725,511.1613200947238,4127.159705307896,575.6046733601544
INTS12,83.38992168205951,56.79107504341067,89.71942073338276,63.037787185464914
INTS15,221.93684394069768,228.97184109225682,200.8860933643942,250.25032161491012
INTS3,531.3822574678411,441.6319332696127,563.5409721864316,409.3526757640148
